2962544954132512401/26896 1459456457055128757521008895/4410944
203778022115550968373484/2017536889 -12629517272754924600330457397808960/90621704443213
96239188694546333692/889249 -246064533711857614932125198160/838561807
2349750047674298476/10201 -2942556680376355480921604160/1030301
920857897359436 -27577144760315065056960
25824173367163321868/351649 39544372587445884352811774976/208527857
1160156751398215596/14641 -37284733359469866260478880/1771561
6376755365454376204/2209 16080365139589651368772412160/103823
508722665308674364/289 361506150449551451281175280/4913
250462743181708 3342437686276981152000
596079250453109068/5329 -141485233791563132993415936/389017
-26233021354868 1405449302202536467968
294012929296732458380716/3743114761 14235101513350984707878319945894720/229007504192741
442186421559216594796/5574321 -80219816907015655145532823840/13160971881
77753308545676 -89808675701149117440
72823324249871672708284/977625289 -5149739366612371842096224689482960/30567409911163
-1000994459093625076/6241 -501603462696263469299831808/493039
230348142615192484/3025 -21978741043923423716058648/166375
15210203296232405690613799221816120108/191947574256973943811001 1758621295342872002413682045776837815191717622517672960/84095729470617512146111828688908499
